,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
馬名,アサクサキングス,アルナスライン,ロックドゥカンブ,エーシンダードマン,ドリームジャーニー,ホクトスルタン,ローズプレステージ,フサイチホウオー,タスカータソルテ,ヒラボクロイヤル,コートユーフォリア,デュオトーン,ブルーマーテル,サンツェッペリン,マンハッタンスカイ,ヴィクトリー,ベイリングボーイ,ウエイクアイランド
騎手名,四位洋文,和田竜二,柴山雄一,角田晃一,武豊,横山典弘,秋山真一,安藤勝己,福永祐一,武幸四郎,川田将雅,藤田伸二,田中博康,松岡正海,小牧太,岩田康誠,渡辺薫彦,幸英明
枠順,10,12,4,5,16,17,13,11,7,1,6,14,3,9,8,18,15,2
走破タイム,3:05.1,3:05.1,3:05.3,3:05.5,3:05.6,3:05.7,3:05.7,3:05.8,3:05.9,3:05.9,3:06.2,3:06.4,3:06.5,3:06.8,3:06.8,3:07.8,3:09.3,3:09.5
オッズ,8.4,11.4,3.5,39.5,5.5,12.7,64.8,11.2,23.6,29.7,164.7,21.8,83.6,18.9,52.8,6.7,112.9,118.2
通過順位,5-5-5-2,6-6-6-5,11-11-13-14,17-17-10-8,18-18-15-8,1-1-1-1,11-11-13-14,8-8-9-10,14-13-15-13,15-15-17-16,6-6-6-7,16-16-10-10,10-10-6-10,2-2-2-4,4-4-3-2,3-3-3-5,8-8-10-16,13-13-18-18
馬体重,488(+4),544(+2),500(-4),490(+2),412(-4),504(0),452(+4),516(0),452(+2),478(-12),480(+4),490(0),446(+8),472(0),524(+8),484(+10),452(-6),480(-2)
性齢,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3,牡3
斤量,57,57,55,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
上がり3ハロン,35.8,35.5,35.4,35.6,35.6,36.8,35.6,35.9,35.8,35.7,36.6,36.5,36.8,37.6,37.6,38.5,39.2,38.5
人気,4,6,1,12,2,7,14,5,10,11,18,9,15,8,13,3,16,17
